"Source:","F:\5to 2022\Tecnicas digitales 3\inst virt\Gitinstrumentovirt\Instrumento_virtual-main\Instrumento_virtual\PCB\InstVirt.kicad_sch"
"Date:","15/11/2023 01:50:45"
"Tool:","Eeschema 7.0.1"
"Generator:","J:\ProgramFiles(x86)\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","78"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1, C2","2","10uF","C_Polarized_US","","Polarized capacitor, US symbol","",""
"D1","1","D_Zener","D_Zener","Diode_THT:D_DO-34_SOD68_P10.16mm_Horizontal","Zener diode","",""
"J1, J2","2","Conn_01x20_Pin","Conn_01x20_Pin","Connector_PinSocket_2.54mm:PinSocket_1x20_P2.54mm_Vertical","Generic connector, single row, 01x20, script generated","",""
"J3, J5","2","Conn_01x08_Socket","Conn_01x08_Socket","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","Generic connector, single row, 01x08, script generated","",""
"J4","1","Conn_01x08_Socket","Conn_01x08_Socket","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","Generic connector, single row, 01x08, script generated","",""
"J6","1","Conn_01x04","Conn_01x04","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"Q4","1","BC548","BC548","Package_TO_SOT_THT:TO-92_Inline","0.1A Ic, 30V Vce, Small Signal NPN Transistor, TO-92","",""
"R1, R3, R5, R7, R9, R11, R13","7","R","R","Resistor_SMD:R_1206_3216Metric","Resistor","",""
"R2, R4, R6, R8, R10, R12, R14, R25, R26, R28, R29, R32, R34, R36, R38, R40","16","R","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor","",""
"R15, R16, R42","3","1K","R","Resistor_SMD:R_1206_3216Metric","Resistor","",""
"R17, R18, R19, R20, R22, R30","6","R1K立","R","Resistor_SMD:R_1206_3216Metric","Resistor","",""
"R21","1","R1k立","R","Resistor_SMD:R_1206_3216Metric","Resistor","",""
"R23","1","R1kK立","R","Resistor_SMD:R_1206_3216Metric","Resistor","",""
"R24, R27, R31, R33, R35, R37, R39, R41","8","10K立","R","Resistor_SMD:R_1206_3216Metric","Resistor","",""
"R43","1","1K","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor","",""
"R44, R45, R46, R47","4","10K","R","Resistor_SMD:R_1206_3216Metric","Resistor","",""
"R48","1","180","R","","Resistor","",""
"R49","1","R","R","","Resistor","",""
"R50, R51","2","1.8K","R","","Resistor","",""
"RV1, RV2","2","5k","R_Potentiometer_Trim","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","Trim-potentiometer","",""
"RV3, RV4","2","5K","R_Potentiometer_Trim","","Trim-potentiometer","",""
"U1","1","4051","4051","Package_DIP:DIP-16_W7.62mm_LongPads","Analog Multiplexer 8 to 1 lins","",""
"U2","1","ULN2003","ULN2003","Package_SO:SOP-16_4.4x10.4mm_P1.27mm","High Voltage, High Current Darlington Transistor Arrays, SOIC16/SOIC16W/DIP16/TSSOP16","",""
"U3, U4, U5, U6, U7, U8, U9, U10","8","PC817","PC817","Package_DIP:DIP-4_W7.62mm","DC Optocoupler, Vce 35V, CTR 50-300%, DIP-4","",""
"U11, U12","2","MCP6002-xMC","MCP6002-xMC","Package_DIP:DIP-8_W7.62mm_LongPads","1MHz, Low-Power Op Amp, DFN-8","",""
"U13","1","MCP6002-xMC","MCP6002-xMC","Package_DFN_QFN:DFN-8-1EP_3x2mm_P0.5mm_EP1.75x1.45mm","1MHz, Low-Power Op Amp, DFN-8","",""
